Empresa,Relato
Nubank,Preciso que o banco NU retire imediatamente meu nome da restrição do banco central.
Pássaro Marron,"no dia 10/10/2024 realizei a compra de 4 passagens, sendo 2 ida de São Paulo Tiete até Aparecida SP e volta Aparecida SP á São Paulo Tiete, para o dia 20/10/2024 no dia 19/10/2024 realizei a remarcação das passagens para o dia 26/10, mas por motivos familiares não vou seguir viajar ao entrarem contato com a central hoje falei com operadora Adriana e recebi a informação que eu não posso cancelar minhas passagens e solicitar o reembolso, por lei eu tem essa direto sim"
Azul Linhas Aéreas,Boa tarde Tenho algumas reservas compradas na azul e devido a alguns problemas no trabalho e de saúde não poderei voar conforme previsto.
Credz,"Pague a divida a mais de 60 dias para limpar meu nome. Porem, meu nome esta na area prejuizo no bacen, me impossibilitando de conseguir credito mercado."
Serasa Experian,"Solicito a exclusão de meu cpf no cadastro do SERASA relativo a toda e qualquer dívida prescrita. A Lei determina prescrição do débito em 5 anos. Todavia, como uma forma de burla à lei, o Serasa criou o feirão limpa nome, onde lança oferta de dívidas prescritas de 18 anos atrás, 10 anos atrás, que impactam o score das pessoas. Ocorre que, dentro do conceito de prescrição, o débito só é exigível no prazo de 5 anos, após esse período, o serasa não pode intermediar esse tipo de cobrança, menos ainda impactar o score. A tal dívida tem prejudicado o meu score mediante a inclusão desta oferta precrita. Após a baixas dessa ""oferta"", ainda serei obrigada a aguardar o Serasa em média 180 dias para subir meu score novamente. BASE LEGAL: O Superior Tribunal de Justiça decidiu que o prazo máximo de restrição é de 5 anos a contar da data de vencimento da dívida (REsp 1630659), confirmando o tempo previsto no Código de Defesa do Consumidor: "" Art. 43. O consumidor, sem prejuízo do disposto no art. 86, terá acesso às informações existentes em cadastros, fichas, registros e dados pessoais e de consumo arquivados sobre ele, bem como sobre as suas respectivas fontes. 1 Os cadastros e dados de consumidores devem ser objetivos, claros, verdadeiros e em linguagem de fácil compreensão, não podendo conter informações negativas referentes a período superior a cinco anos."" O parágrafo 5 do mesmo artigo também fala que se estiver prescrito o direito de cobrança da dívida, não podem ser fornecidas informações negativas pelos cadastros de restrição ao crédito. Vejamos: "" 5 Consumada a prescrição relativa à cobrança de débitos do consumidor, não serão fornecidas, pelos respectivos Sistemas de Proteção ao Crédito, quaisquer informações que possam impedir ou dificultar novo acesso ao crédito junto aos fornecedores."" O Novo Código Civil é claro quando afirma, no artigo 206, 5, que o direito de cobrança de dívidas prescreve em 5 anos. ""Art. 206. Prescreve: 5o Em cinco anos: I - a pretensão de cobrança de dívidas líquidas constantes de instrumento público ou particular;"" Portanto, não cobrada na justiça a dívida após 5 anos do seu vencimento (data em que deveria ter sido paga), estará prescrito o direito de cobrança da mesma e ela não poderá constar de qualquer registro negativo. Assim, analisando o que diz a lei, após o prazo de 5 anos, a contar da data de vencimento da dívida (não a data do cadastro), a restrição deverá ser excluída automaticamente Pedido à Empresa Solicito a exclusão de meu cpf no cadastro do SERASA relativo a toda e qualquer dívida prescrita. A Lei determina prescrição do débito em 5 anos. Todavia, como uma forma de burla à lei, o Serasa criou o feirão limpa nome, onde lança oferta de dívidas prescritas de 18 anos atrás, 10 anos atrás, que impactam o score das pessoas. Ocorre que, dentro do conceito de prescrição, o débito só é exigível no prazo de 5 anos, após esse período, o serasa não pode intermediar esse tipo de operação."
Banco do Brasil,"Eu já efetuei o pagamento da dívida no valor que foi sugerido pelo banco, mas meu nome esta constando na lista de restrição dos bancos, gostaria que fosse retirado."
Equatorial Pará (CELPA),"Boa tarde Hoje (22/10) pela manhã a empresa equatorial, realizou o corte de energia na residência errada. No terreno que resido há duas casas com mesma númeração, no entanto, com detalhe que destaca a diferença, ou seja, o número da minha residência é 88 e a casa deve ser interrompida o fornecimento da energia é de número: 88Fundos. Já entrei em contato solicitando o pedido de religação com urgência e até nada, foi solucionado. Peço que resolva essa situação com agilidade e que a empresa venha se retratar comigo. Estou com transtorno desta situação."
Hurb - Hotel Urbano,"Fiz o cancelamento do meu pacote de viajem via aplicativo da HURB no dia 18 de junho de 2024, após receberem o pedido de cancelamento foi informado que no prazo de 60 dias para receber o valor pago. Contudo já se passaram mais de 85 dias e ainda nãi tive nenhum retorno sobre quando a empresa faria a devolução do valor."
Nubank,"dívida já foi paga e meu nome aparece como prejuízo no registrato sendo que era um cartão com limite igual ao investimento, dívida já paga, ainda sujaram meu nome."
Copa Airlines,"Fiz uma reserva pela decolar.com com destino a Cancún, mas tive um imprevisto, sou policial militar e tive as férias canceladas devido a curso que sou obrigada a fazer. Enviei tudo pra decolar já tem 3 meses e até agora não obtive retorno, simplesmente não respondem mais, ja tem 2 meses. Preciso cancelar ou remarcar sem custo."
Banco Daycoval,"Possuo um contrato de financiamento firmado junto ao banco daycoval, porém, não tenho a cópia do meu contrato."
Latam Airlines (Tam),"No dia 12/10/2024 voo com destino ao aeroporto de Salvador (SSA), saindo do Aeroporto Internacional de Belo Horizonte (Aeroporto Tancredo Neves) com escala no Aeroporto Internacional do Rio de Janeiro/Galeão Antônio Carlos Jobim. Chegando no aeroporto do Rio de Janeiro, o voo foi cancelado. Localizador: LPJGWS. Latam LA3674, embarque 23:55. Foram prestados todas as assistências e voo remarcado para 24h depois, ou seja, 13/10/2024 23:55 porém os meus compromissos foram perdidos, que me causaram danos financeiros e emocionais."
Latam Airlines (Tam),"Estou escrevendo para formalizar uma reclamação em relação ao cancelamento do meu voo original e os transtornos subsequentes que enfrentei. Comprei uma passagem para Fernando de Noronha, Ida: 30/09/24 às 23h saindo do Rio de Janeiro. LATAM - Rio x Recife Voepass - Recife X FN No dia 29/09/2024, ao tentar realizar o check-in percebi que o voo havia sido cancelado. Fui remanejado para um voo diferente, com mais escalas e um horário menos conveniente, o que não condiz com o que comprei inicialmente. Ida: 30/09 às 21h GOL - Rio X Fortaleza Azul - Fortaleza x Recife Azul - Recife x FN Após tentar resolver a situação via WhatsApp e telefone sem sucesso, fui ao aeroporto. Após falar com a atendente, fui direcionado a ligar para ouvidoria e 1h20 depois fui informado de que o único voo alternativo disponível não atendia às minhas necessidades. Além disso, não obtive nenhum tipo de compensação ou voucher para cobrir os transtornos, e ainda recebi um código inválido para check-in na GOL."
Banco do Brasil,"Prezados, Conforme comunicado de superendividamento enviado em demanda aberta anteriormente sob protocolo n° 2024/165796 venho através deste formalizar minha solicitação de renegociação de dívidas diretamente pelo PROCON e BACEN, uma vez que não obtive êxito em nenhuma das conversas via telefone e pela agência, onde somente me foi oferecido valores que não tenho condições alguma de pagar diante do meu cenário de superendividamento Tenho tentado reiteradamente e sucessivamente, diversas tentativas de contato com o banco para renegociar essa dívida, e em resposta só recebo propostas com juros abusivos e que aumentam muito o valor da minha dívida. Estou em um complexo processo de reorganização financeira e tenho me esforçado para colocar minhas obrigações em dia, mas preciso ter um canal de comunicação com o banco que me apresente uma proposta justa e sem juros exorbitantes. Considerando o valor do capital emprestado e o valor que já paguei, venho oferecer uma proposta de R$ 25.000,00 para pagamento do CDC salário que ainda está pendente com esse banco, em 24x1041,60. Me coloco a disposição para receber uma contraproposta, mas de fato, não consigo assumir um valor acima do proposto, pois como informei no comunicado anterior, hoje, no Sistema de Informações de Crédito do Banco Central – SCR minha responsabilidade total em reais é de R$ 456.907,28 em 4 bancos e instituições financeiras. Caso seja necessário, posso enviar a vocês meu comprovante de pagamento e rendimentos mensais junto com a comprovação de toda minha movimentação financeira onde pago minhas necessidades básicas, uma relação de todas as minhas dívidas que são com garantia e sem garantia, e também um descritivo detalhado de minhas despesas essenciais mensais, pois desde que constatei a minha situação de superendividamento toda minha movimentação está em uma única conta e do mesmo modo que estou encaminhando esse pedido a vocês, estou encaminhando para TODOS os meus credores de outras instituições e não tenho absolutamente nada a esconder ou ocultar. Certo da cooperação dessa instituição no seu papel na prevenção e tratamento do superendividamento, aguardo retorno por escrito a fim de mantermos o registro das interações entre nós. Data: 22/10/2024 Nome: Amélia Duarte Bezerra CPF: XXX.XXX.XXX-XX"
Avon,"Comprei 5 unidades do Gel creme facial hidratante matificante em 20/02/24. Porém, com o uso comecei a sentir a pele queimar e arder. Liguei pedindo a devolução de três unidades restantes e reembolso do valor, porém a Avon se nega a me reembolsar."
Uber,"Fui cobrada com um valor adicional que considero abusivo por tempo em trânsito. Foi um adicional de 60% no preço informado no início da corrida. Primeiramente, se eu quiser ser surpreendida por preço eu pego um táxi que é muito mais confiável e confortável. Segundo, não levei 60% a mais de tempo de tempo que tipicamente gasto neste horário para ter este aumento abusivo. Terceiro, existiam outros caminhos a serem feitos e o motorista seguiu no caminho congestionado (creio que o indicado pelo mapa da própria uber)."
Banco Itaú Unibanco,negativaçao por divida ja pagar ao banco
Banco Bmg,"Prezados senhores Venho por meio desta solicitar que seja enviado para o endereço eletronico cadastrado nessa plataforma a cópia do contrato do empréstimo consignado RMC e outros firmados com desde o início da relação negocial, como me é de direito (artigo 6º, inciso III, artigo 46, e 52 do CDC). Dessa forma, ficam V. Sas. notificadas. Na falta de resposta positiva para a presente solicitação, no prazo máximo de 10 (dez) dias a contar do recebimento desta, farei reclamação junto aos órgãos de defesa do consumidor, sem prejuízo das medidas judiciais cabíveis. Atenciosamente,"
Cartões Renner (Realize CFI),"Prezados Senhores, Venho, por meio desta, solicitar formalmente a exclusão do meu nome do cadastro de inadimplentes e de prejuízos no Sistema de Informações de Crédito (SCR), em conformidade com as disposições da Resolução nº 4.571/2017 do Banco Central do Brasil. Em Agosto de 2024, tomei conhecimento de que meu nome foi incluído na lista devido a inadiplencias que constavam em meu CPF junto a administradora. No entanto, todas as dividas foram quitadas, motivo pelo qual entendo que essa inclusão não é mais aplicável ou correta."
Equatorial Maranhão (CEMAR),quero que retiro o debitos de meu nome
Paraná Banco,"Boa tarde, Manifestação em anexo."
Toyota,"No dia 31/07/2024 comprei o carro Toyota Yaris XL 2024/25 e, dia 06/08/2024, fui buscá-lo na concessionária. Já no primeiro dia de uso, notei estalos no motor após desligar o veículo. Porém, com o tempo, comecei a prestar mais atenção e constatei que o barulho também ocorre com o carro desligado ( mesmo após 12 horas sem uso) e com o carro em movimento. Quando utilizo o carro por mais de 10 minutos e o desligo, os estalos acontecem com mais frequência e duram por cerca de 2 horas. No dia 13/09/2024, entrei em contato com a concessionária para agendar uma inspeção que ocorreu nos dias 25 e 26/09/2024, sob a Ordem de Serviço 44271. Ao deixar o veículo para análise, mostramos os estalos para o mecânico da Toyota que se assustou e disse nunca ter visto esses estalos em carros como Yaris, apenas em motos. De pronto, o mecânico começou a coletar informações e repassar para a engenharia da Toyota. O carro ficou por cerca de 1 dia e meio na concessionária. Quando fiquei sabendo por whats app que o problema não seria resolvido, eu entrei em contato com SAC da montadora pelo número de protocolo 11963 e o SAC me disse que faria contato com a concessionária para apurar o ocorrido. Ainda assim, a concessionária nos devolveu com o mesmo problema sob alegação de que os estalos contínuos se tratam de uma característica do veículo. De imediato, fui conversar com o gerente do Pós Venda, Sr. Jeferson Belo. O mesmo disse que só tinha visto esse barulho em alguns veículos da marca Mercedes, em outra peça e com bem menos frequência, mas que o meu veículo seria devolvido nas mesmas condições pois a engenharia atestou que os estalos não representavam risco para o condutor. A partir daí, eu entrei em contato inúmeras vezes com o SAC sob o mesmo protocolo 11963 tentando resolver meu problema visto que o carro ainda está na garantia. Eles só responderam um primeiro e-mail atestando que o problema se trata de uma característica do veículo e não retornaram mais minhas ligações e nem responderam meus outros e-mails. Posteriormente, perguntei para outros proprietários de Yaris que negaram ter esse problema e ainda estranharam ao ouvir os estalos do meu carro. É revoltante e humilhante o que estou passando. O carro fica estalando por mais de 1h, vou aos lugares e as pessoas ficam olhando para o veículo, temos que ""escondê-lo"" ao invés de estacioná-lo. Apesar de falarem que é uma característica, o mecânico e o gerente de pós-venda nunca tinham visto tal problema até então no carro do modelo Yaris, constando uma evidente contradição. Essa “característica” também não é encontrada no manual do veículo. Não sei mais o que fazer, nem a quem recorrer. Meu carro está na garantia e não resolvem meu problema, agora, sequer me respondem."
Uber,"Percebi hoje que vem sendo cobrado mensalmente o valor de R$ 19,90 no meu cartão de crédito que não me lembro de ter autorizado no aplicativo da UBER."
Mercado Pago,"A empresa Mercado Livre não possui canal de reclamação direta, havendo somente a possibilidade de realizar reclamação pelo Reclame Aqui. No Reclame Aqui foi exposto que os dados do cadastro da empresa foi indexado os dados pessoais do antigo gestor. Devido essa falha, a empresa, ao tentar obter o acesso a conta perante ao Mercado Livre, é obstaculizada porque somente é possível acesso após o método de verificação por SMS ou WhatsApp. Justamente, são esses métodos que se encontram cadastrados com os dados do antigo gestor. Vale ressaltar que, anteriormente foi tentado o acesso ao conta com a verificação facial para testar ser o sócio da empresa."
Hurb - Hotel Urbano,"Comprei os pacotes em 2022 para viajar em 2023. Infelizmente a empresa não cumpriu as datas, então, pedi a devolução do valor pago de R$8.133,00 em 06/11/2023. Pediram o prazo de 60 dias para efetuar o estorno. Hoje é dia 22/10/2024 e não recebi um centavo! Gostaria de resolver isso o mais breve possível, pois não aguento mais ! Só sabem pedir para aguardar mais um pouco e mais um pouco! Só quero o que é meu !"
Caixa Residencial,"Boa tarde! Recebi no dia 21/10/2024 uma notificação por e-mail da Caixa Residencial através da empresa XS3 de uma renovação de um Seguro Residencial o qual NUNCA fiz parte. Em nenhum momento contratei esse serviço pela Caixa. Uma cobrança indevida no valor de R$ 34,01 por 36 meses (a primeira cobrança será no dia 04/11/2024) do Plano Assistência Mais o qual NÃO CONTRATEI EM NENHUM MOMENTO."
Drogaria São Paulo,"Fiz uma compra no dia 11/10/2024, para retirar na Unidade da Rua Sócrates, 484. Não consegui contato com eles de forma alguma, não respondiam o whatsapp ou atendiam ligações. Devido às chuvas só fui retirar no dia seguinte, infelizmente a unidade estava sem luz ainda. Tentei contato por whatsapp no outro dia e nada. Resolvi cancelar a compra e refazer a mesma em outra unidade mais longe da minha residência mas eu que tinha certeza que estava funcionando. Fiz o cancelamento depois de horas tentando por várias vias de contato, porque só é feito pela central e consegui um retorno no dia 13/10/2024 e fui informada que receberia o retorno em 72h. No dia 18/10/2024 após não receber meu estorno entrei em contato, com muito custo, novamente e recebi MAIS um prazo de 72h. Seria falta de organização e comprometimento terem me feito o estorno no dia 18/10 mas esperar mais setenta e duas horas depois disso é simplesmente agir de má fé. Meios de comunicação com o cliente e pós venda deploráveis."
Smiles,"Boa tarde, comprei essa passagem que será utilizada no dia 08/11/2024 há alguns meses, contudo o voo sofreu alteração, mas não consigo alterar o horário para um mais conveniente sem custo no aplicativo. E devido ser uma passageira frequente - inclusive possuo o cartão fidelidade da empresa - sei que essa mudança de horário é possível. Também tentei contatar o SAC, mas o tempo de espera é extremamente longo e sempre cai na atendente virtual, e não consigo falar com um atendente humano."
Drogasil,"já tem um tempo que tento comprar pelo site e na hora de realizar o pagamento aparece a mensagem de ""erro ao finalizar pedido"", já fiz contato 2 vezes relatando o problema e não foi resolvido. Acredito que a empresa está bloqueando as compras pelo site, para que a gente não use os serviços de cashback (como a meliuz). Mas considero isso injusto, se a empresa não quer mais participar desse programa então desfaz o contrato com a meliuz. No momento é errado a Drogasil não me permitir realizar a compra no site."
Claro Celular,Recebi um email de negociação de débitos por conta da claro. Não possuo conta na claro portanto trata-se de fraude de CPF.
Mondial,"No dia 19 de agosto enviei minha secadora para a assitência técnica especializada. Passou um mês e a MONDIAL não enviou a peça de reposição. Me instruiram a entrar contato com a assistência técnica, e eu o fiz. Me informaram primeiro que eu receberia um SMS com o link para enviar o comprovante de endereço para que me enviassem uma escova nova. Não chegou SMS alguma. Alguns dias depois entrei em contato de novo (4 de outubro), me instruiram a enviar por email o comprovante de endereço. Enviei. No dia 08 de outubro recebi um email de que eles tinham recebido meus documentos. No dia 12 enviaram um novo email dizendo que me enviariam o codigo de rastreio do produto ""assim que disponível"". Hoje já fazem 10 dias desde que ficaram de me mandar um codigo de rasteio, e SESSENTA E QUATRO dias desde que eu enviei o item para a assistência técnica. Ao ponto de que se eu tivesse comprado um item novo no meio tempo teria sido mais rápido que tentar usufruir dos meus direitos do consumidor."
Smiles,"Realizei a compra das passagens em nome de DAWISONS MAGNUN ALVES MARQUES e LARISSA ARRUDA GOMES, no mesmo dia e na mesma reserva NCJAUX, tendo como origem o aeroporto de Porto Alegre e destino o aeroporto de Goiânia. Porém, devido a causas maiores, terei que alterar a data do voo de apenas uma pessoa da reserva (DAWISONS MARQUES), mantendo a outra sem alteração. Fiz contato com a empresa via telefone através do protocolo 13700022, de 22OUT24, e obtive que a alteração não poderia ser feita pois estava na mesma reserva. A única solução que a cia aérea me passou foi que eu teria que cancelar o voo pagando uma multa arbitrária de R$ 400,00 por trecho, contrariando totalmente o que descreve o art. 740 do Código Civil, que limita tal multa a 5%."
Uber,"Dia 20/10/24 utilizei a Uber para deslocamento de Bal. Camboriu/SC a Penha/SC. Custou R$61,54. Paguei em dinheiro, R$62,00. Não forneceu recibo de imediato. Após instantes enviaram email informando que o motorista alegou que o pagamento havia sido parcial, R$30,00. Me cobrando novamente o valor de R$31,54 que eu já havia pago ao motorista que faltou com a verdade. Ao reclamar com a Uber me deram um crédito de R$ 27,86 que eu tentei utilizar para o pagamento da pendência que alegam que eu tenho. Contudo, dizem que esse saldo é baixo e eu teria que comprar um saldo de no mínimo R$50,00 para conseguir utilizar esse crédito de R$27,86! O que acho injusto, pois já paguei integralmente para o motorista que não foi correto, não falou a verdade para obter vantagem em cima de mim."
Smiles,"Realizei a compra das passagens em nome de DAWISONS MAGNUN ALVES MARQUES e LARISSA ARRUDA GOMES, no mesmo dia e na mesma reserva NCJAUX, tendo como origem o aeroporto de Porto Alegre e destino o aeroporto de Goiânia. Porém, devido a causas maiores, terei que alterar a data do voo de apenas uma pessoa da reserva (DAWISONS MARQUES), mantendo a outra sem alteração. Fiz contato com a empresa via telefone através do protocolo 13700022, de 22OUT24, e obtive que a alteração não poderia ser feita pois estava na mesma reserva. A única solução que a cia aérea me passou foi que eu teria que cancelar o voo pagando uma multa arbitrária de R$ 400,00 por trecho, contrariando totalmente o que descreve o art. 740 do Código Civil, que limita tal multa a 5%."
Uber,"Pedi uma corrida e eu estava dentro do estacionamento do mercado, mas como não possui endereço ficou na frente do estabelecimento, informei o motorista que era dentro do mercado e ele fez uma volta sem necessidade já que o endereço era em frente a o estacionamento, uma corrida de 17 reais acabou sendo 30 e mesmo pedi do estorno oa empresa negou."
Hurb - Hotel Urbano,"Eu fiz uma solicitação de reembolso do meu pedido 8259377, no dia 26/06/2023. O prazo do reembolso era pra ser até 24/09/2023 no valor de R$ 3.252,28, mas até o momento não foi feito. O valor foi pago via boleto bancário. Já é a quarta vez que eu faço uma reclamação por aqui."
Smiles,"No dia 29/05/2024, efetuei a compra de um bilhete do aeroporto GIG para o aeroporto de Guarulhos, localizador ESZWWP. Para minha surpresa o voo foi alterado para Congonhas no mesmo dia e horário, sem a minha anuência, o fato consiste que a compra do Voo é devido a uma viagem internacional que terei no dia 21.01.2024, pela SWISS, e a mudança do voo não me interessa, pois não posso me arriscar a perder meu voo internancional porque a cia aerea decidiu cancelar o voo e altera-lo para outro aeroporto, dessa foram entrei em contato com a central de atendimento, solicitando o cancelamento do ticket pela mudança não aceita por mim, pra minha surpresa a atendente informou que não seria possivel efetuar o cancelamento, pois não havia mudança de horário relevante. Mas o fato consiste que a logística inviabiliza meu deslocamento."
Hurb - Hotel Urbano,"Fiz um cancelamento de reserva, paga por pix, dentro do prazo gratuito. A reserva foi feita no dia 06 de outubro, o cancelamento realizado no dia 09 de outubro, para uma reserva em meados de dezembro. Porém o cancelamento está ""em processamento"", com previsão de devolução em 06 de janeiro de 2025. Sinto me lesada porque o meu dinheiro foi entregue IMEDIATAMENTE ao fazer a reserva, e pelo sistema, a HURB ficará com o meu dinheiro por 90 dias. Possivelmente, capitalizando com o meu dinheiro em aplicações financeiras."
Serasa Experian,"Boa Tarde! me chamo Maria Valeiria, no Serasa não tenho nenhuma divida e no banco central conta que tem, o mesmo não esta validando as minhas contas pagas, a instituição não esta reconhecendo o pagamento Retirar a restrição, por favor"
Uber,"Solicitei uma entrega de marmita via moto entrega da uber, e o motorista nao entregou e nao entrou em contato, finalizou a entrega como concluida, quero receber minha entrega. Estou tentando contato com o motorista pelo aplicativo e o app só mostra pra aguardar."
Cemig,"Em contato via ligação na segunda feira parte da manhã às 08:30 pedi uma urgência na rua Brás cubas 39, sou morador do apartamento 204, e todos do prédio estamos com problema de queda de energia e meia fase em todo os apartamentos do prédio. Ao ligar na empresa Cemig foi informado que o prestador de serviços da Cemig seria dirigido ao prédio."
Enel Distribuição Rio (Ampla),NA DATA 22/10/24 FOI FEITO CORTE NA MINHA RESIDENCIA E OS PAGAMENTOS FORAM EFETUADOS NO MESMO
XP Investimentos,"Prezados, Sou uma usuária frequente do aplicativo da XP, utilizando-o tanto para realizar compras quanto para gerenciar meus investimentos. No entanto, o aplicativo tem se mostrado extremamente instável e pouco fluído, o que afeta negativamente a usabilidade e causa grande frustração. Recentemente, estou enfrentando dificuldades para realizar login, com constantes erros que inviabilizam o acesso. Isso tem impactado diretamente meu planejamento financeiro e de investimentos. Mesmo após reinstalar o aplicativo, o problema persiste."
Banco Volkswagen,"Venho por meio desta reclamação solicitar o envio da cópia do meu contrato financiamento celebrado com a reclamada. Cabe salientar que, por diversas vezes, tentei entrar em contato com a reclamada no intuito de resolver minha demanda, mas todas sem êxito."
Gol Linhas Aéreas,"No dia 03.08.2024 realizei a compra das passagens VIX para GIG, ida e volta, pagando um total de R$ 477,46. Ida 23/10/24 e volta 24/10/24. Entrei em contato com a Gol para remarcar o trecho de volta, GIG x VIX, para o dia 05.12.2024 e a GOL cobrou o valor de R$ 853,79 para o horário de 21:35 e R$ 831,68 para o horário de 14:00. Sendo que a passagem nesse momento no site da GOL é de R$ 387,00 o horário de 14:00 e de R$770,00 o horário de 21:35. Veja, a empresa está cobrando mais caro para remarcar uma passagem que já possuo, do que o valor que está hoje no site. Acho a cobrança abusiva e gostaria de poder remarcar a minha passagem."
Pontofrio.com,Favor direcionar a presente reclamação a Rafaela que já está ciente: Envio em anexo prints demonstrando que tinha direito a receber pontos Esfera nos pedidos 437770749 e 437910294
Porto Seguro Consórcios,"No mês de Setembro uma pessoa da Porto Seguro entrou em contato comigo oferecendo uma proposta para venda da minha cota cancelada com a Porto Seguro administradora de consorcio, liguei no atendimento da Porto Seguro para ter certeza pois me informaram que a empresa interessada na cota seria Bazar do consorcio, a atendente me disse que poderia confiar pois se tratava de uma empresa parceira da Porto, o processo da venda iniciou no dia 20/09/2024 com assinaturas concluídas no dia 26/09/2024 no contrato informava que após assinaturas o pagamento seria em 10 dias hoje já estamos no dia 22/10/2024 e só fizeram o pagamento de 50% do valor na conta do meu marido pois a cota era de 2 titulares. Dados do grupo: I149 Cota: 422 já foram inúmeras tentativas de contato em todas empresas envolvidas, no telefone de contato Rbrasil empresa responsável pelas vendas das cotas da Porto Seguro 1147371097 - Telefone Bazar do Consorcio 1149330832 - telefone ouvidoria Porto XXX.XXX.XXX-XX Peço prioridade ao meu caso e não estão dando a devida importância. Peço ajuda pois já estou doente com essa situação, acabou por virar um grande transtorno. Sei que a Porto é uma empresa muito seria mas não sei se esta chegando ate a diretoria o meu caso."
Latam Pass,"No dia 11/09/2023 fui surpreendido com um débito de R$7.865,00 no saldo da minha Latam Wallet (ID 26309503), com a descrição de ""ajustes administrativos”. Nessa data, não fiz nenhuma utilização do meu saldo Latam Wallet. Portanto, tratam-se de débitos não reconhecidos e não autorizados. Em resposta, a Latam alegou que se tratou de débitos que não haviam sido debitados na data. Acontece que a pontuação foi descontada e logo foi reembolsada pois os bilhetes NÃO foram emitidos. se os bilhetes foram emitidos não tem porque fazer qualquer débito retroativo de Wallet. Diante do exposto, solicito o reembolso do saldo wallet indevidamente debitados do meu extrato. Caso a Latam mantenha a alegação que se trata de uma correção retroativa, solicito tambem a 2ª via da Reserva e dos supostos bilhetes emitidos."
Loja Electrolux,"Conforme solicitado pela promoção de cash back, informei os dados no periodo de acordo com o indicado, porem recebi a informação que foi negado meu pedido, mas sem justificativa alguma. Primeiramente tive grande dificuldade para cadastro das informações no portal da promoção que induz o consumidor a erro e perda de prazo. Apos cadastro concluido com envio da nota houve a negativa mas sem motivo informado."
Latam Airlines (Tam),"Venho por meio deste buscar uma solução referente a um bilhete aéreo. Em síntese, houve diversos problemas em relação a bilhete de um amigo que possivelmente viajaria comigo na mesma data: alteração de vôo em que não foi oferecida nenhuma opção alternativa nem de data, nem de horário. Após protocolo formal n° 62998834, referente a ele, nenhuma das demandas referentes e ela foram atendidas. Ponto pacífico aqui é que a LATAM alterou o vôo dele e comunicou que o vôo estava sob flexibilidade, mas não deu qualquer opção de remarcação. Embora a Latam tenha falhado ao não oferecer qualquer alternativa de data e hora para ele, solicitou-se, então, naquele protocolo, a alteração do vôo (Localizador AYUULA) no qual sou o titular dos pontos, um dos viajantes e administrador da reserva. O vôo tem origem em Foz do Iguaçu e destino a Londres, entre 1 e 4 de dezembro, dois passageiros. Requeiro aqui tão somente a alteração do mêu vôo para a mesma data do vôo do meu amigo, já que a Latam falhou não oferecer qualquer alternativa de data e horário de vôo para esse caso. Em resposta àquele protocolo, o atendente solicitou que fosse aberta reclamação em meu nome para que fosse feita a análise do Localizador AYUULA, o que estou fazendo nesse momento."
Cemig,"MINHA CONTA DE ENERGIA VENCE TODO DIA 17 DE CADA MÊS, PORÉM A CEMIG MUDOU A DATA DE VENCIMENTO PARA O DIA 05 DE CADA MÊS, POR SU PRÓPRIA VONTADE. NÃO TENHO COMO REALIZAR PAGAMENTOS NO DIA 5 POIS SÓ RECEBO NO 5º DIA ÚTIL. PRECISO QUE MEU VENCIMENTO PERMANEÇA TODO DIA 17 DE CADA MÊS."
iFood,"No dia 18/10/2024 fiz um pedido de comida no valor R$ 20,90 pelo aplicativo Ifood via PIX, no restaurante Grotto Gastronomia... porem meu pedido chegou com má qualidade e faltando itens... Reclamei e foi cancelado... então o Restaurante voltou até meu local de entrega e pegou a comida de volta.... Fiquei sem a comida e sem o dinheiro.... Ainda até presenta data não recebi meu Reembolso, no aplicativo aparece como em andamento... mas até quando vou esperar? no aplicativo do Ifood fala que o PIX será devolvido no mesmo dia, que é mentira"
Porto Seguro Cartões e Financiamentos,"Boa tarde, no dia 25/09/2024 às 11h15 realizei a troca dos meus pontos do Porto Plus trocando os pontos por Nescafe Dolce gusto Cappucchino Doce de Leite Moça 10 Capsulas. Ocorre que em 10/10/2024 às 12h35 foi cancelado o pedido e nao foi estornado os pontos."
Latam Airlines (Tam),"Bom dia, tudo bem? Tinha uma viagem programada para o dia 29 outubro a 14 de novembro. Porém por questão de saúde será necessário cancelar esta viagem. Como eu estou com 2 filhos, acabei comprando a passagem dos meus sogros para irem comigo para ajudarem. Porém, descobrimos que minha esposa está gravida e ela tem Trombofilia, o que impede ela de viajar de avião."
