Empresa,Relato,Avaliacao
Nubank,minha divida era r7.34730 e hoje está em r10.00525 percebo que há juros acima da média do banco central na evoluçao da dívida.,1
Banco Inter (Banco Intermedium),prorrogação não concedida. foi realizado solicitação de portabilidade de um ativo no dia 2509 com sla de 2 dias e só finalizado no dia 0810. entrei em contato já duas vezes e abriram mais 2 protocolos com 5 dias uteis. banco simplesmente não respeita os clientes acha que pode fazer o que quer e ta tudo certo até ser protocolado na justiça e quer acordo. estive impossibilitado de movimentar os ativos em questão devido a minha conta estar bloqueada tendo prejuízo financeiro pela volatidade dos ativos.,1
Banco Inter (Banco Intermedium),havia recebido um email da empresa dizendo que minha conta estava com saldo negativo mas a conta estava bloqueada e não tinha acesso ao saldo da conta entrei no atendimento no mesmo dia e não tive resposta mesmo o horário de funcionamento do chat sendo até as 2000. dias depois me responderam com o extrato e mesmo assim ao tentar pagar o banco estava rejeitando transferências. ao explicar isso isso foi desbloqueado a conta para pagamento do negativo e foi feito a conta já estava zerada para seguir com o cancelamento da conta. no dia seguinte o banco cobrou juros e iof pelo período que ficou negativo o mesmo período que minha conta estava bloqueada impossibilitando o pagamento. de acordo com o gerente não tem jeito preciso pagar pela incompetencia do banco e fiz coletando todas evidencias para recuperação do valor posteriormente. essa é uma oportunidade de pagarem o valor devido. resposta da empresa indo adiante no dia 25092024 lhe encaminhamos um novo comunicado informando que os serviços da conta permaneceriam ativos por mais 2 dias e no dia 27092024 realizamos o bloqueio efetivo da conta conforme também lhe comunicamos via email na mesma data. haja vista que ainda identificamos as regularizações supracitadas nos dias 01 e 07 de outubro desbloqueamos a conta pelo prazo de 24 horas para que você realizasse o acesso conforme lhe comunicamos via email aqui a empresa admite que durante os dias 2709 e 0110 a conta já estava bloqueada o que impede de eu sequer saber que a conta estava negativa ou transferir recursos para pagamento. além disso foi pago proventos errado mais uma vez r 39024 ao inves de r 39026 decorrente desse problema.,1
Banco Inter (Banco Intermedium),empresa está agindo contra os termos de uso da plataforma respondendo e finalizando com pedido de prorrogação pra responder por fora da plataforma. sendo que tanto o 2024.09xxx.xxx.xxxxx como 2024.09xxx.xxx.xxxxx foi respondido com prorrogação e não houve resposta. no protocolo 2024.10xxx.xxx.xxxxx foi copiado a resposta de outro protocolo em aberto. e o ultimo protocolo com resposta incoerente. dado o encerramento da minha conta . possuo em conta cashback pendente de compensação do inter shop pontos do inter loop já recebidos e pontos do inter loop pendente de pagamento da fatura.,1
Banco Inter (Banco Intermedium),protocolo anterior nenhuma das reclamações foram respondidas e postergação de resposta não é resposta. além de n ter relação com b3 investimento fii pulv11 teve rendimento em junho de r 012 por cota e o inter pagou apenas r 004 e no protocolo anterior afirmou mais uma vez ter sido r 0035 e ainda assim ter admitido que rendimento do pulv11 era de r 0115 por unidade mas se nega no pagamento do valor restante. e o rendimento de julho foi de r 010 por cota e o valor recebido também está incorreto o valor de r 010 é uma informação pública e pode ser verificada essa informação está até na própria b3. como solicitado no protocolo anterior.,1
Banco Inter (Banco Intermedium),pela quinta tentativa já que o banco respondeu os ultimos 2 protocolos com prorrogação sem meu consentimento sem resposta direcionada ao problema. e nos 2 últimos resposta incorreta e incoerente com o reclamado. possuo uma ação pulv11 desde o mês de junho solicitei a venda de todas as cotas pelo valor de mercado no momento da venda r 1010 8 tentativas no total de 1001 até ás 1014 e não foi possível concluir a operação sendo cancelada imediatamente após solicitação sem erros sem justificativa. o atendimento pelo chat se negou a resolver o atendimento pelo whatsapp abriu uma solicitação protocolo xxx.xxx.xxxxx7322. nesse momento o valor já teve uma queda. dado que o problema foi causado por erro de sistema do banco. deve ser corrigido os valores. informo ainda que esse assunto não tem nada a ver com o processo judicial já aberto contra a empresa como informado pelo atendimento incompetente do banco ainda. como já sabemos que vcs não tem competencia pra atender os clientes eu vou orientar vocês. o valor a mercado é definido pelo próprio app não podendo ser alterado pelo usuário como evidencia em anexo. quanto ao pregão vcs podem ver o email que eu mandei sobre esse assunto bem importante analisarem. como informado no 2024.09xxx.xxx.xxxxx. não aceito prorrogação.,1
Banco Inter (Banco Intermedium),foi realizada a compra de 4000 cotas do ativo pulv11 e o banco indevidamente liberou 4000 cotas do pulv15 posteriormente falhou na pagamento de proventos que obviamente teve divergencia no rendimento. em protocolos anteriores resposta inverídica da empresa informando que não liberou indevidamente pulv15 e que é procedimento padrão mas possuo todos os documentos fornecidos pela empresa e essa informação e essa cota não está em nenhum dos documentos ou sequer informado em contato com o assessor nem é possivel avaliar a existencia desse ativo em outros meios. por tanto há valores a serem corrigidos. e também nenhuma relação com b3. rendimento em junho de r 012 por cota  o inter pagou apenas r 0035 rendimento de julho foi de r 010 por cota  inter o valor de r 009 são informações públicas e podem ser verificadas essa informação está até na própria b3.,1
Banco Santander,solicito a remoção das informações de prejuízo passadas ao banco central tendo em vista que foram realizado e formalizado e pago o acordo proposto pela instituição.,4
Banco Inter (Banco Intermedium),essa reclamação não tem nenhuma relação com a ação judicial aberta atualmente contra a empresa e em protocolo anterior banco respondeu com conteudo completamente incoerente com o problema. investimento não está na b3 mais uma vez a empresa me roubou. o investimento inicial de r 510148 com rentabilidade de ipca  432 a.a após 3 anos foi pago apenas r 542427. essa empresa acha que os clientes são otários não é possível isso... em anexo evidencia de 5 de agosto que o investimento já estava com r 625916 de valor líquido. não adianta entrar em contato com a empresa nunca são incapazes de responder ou resolver qualquer coisa. foi respondido em protocolo anterior que já existe outro protocolo aberto sobre o assunto mais uma mentira dado que foi respondido como prorrogação e finalizado sem resposta.,1
Banco Inter (Banco Intermedium),deveria receber proventos dia 1410 que ficou no lixo da conta do inter que foi cancelada e desde o dia 1210 não consigo contato. o atendimento é insuperável de tão ruim incompetentes demais não respondem e quando respondem é uma macacada sem sentido nenhum. disseram  o recurso já está em conta. que conta só depois que finalmente pagaram mas como sempre tem roubo pagaram r 39024 ao inves de r 39026,1
Banco Inter (Banco Intermedium),prorrogação não concedida e reclamação do banco central não respondida. depois de inumeros problemas devido a queda surpreendente de qualidade do atendimento do banco decidiram finalmente encerrar minha conta por si isso não é um problema pois já era minha intenção mesmo. é triste ver o lixo que o banco se tornou porém nossos assuntos não terminam com o encerramento da conta. vocês ainda precisam resolver os problemas abertos em outros protocolos especialmente em relação aos investimentos o ipca  432 que foi pago muito menos do ipca em 3 anos o pagamento incorreto dos proventos do pulv11 do mês de junho que foi pago como indevidamente como pulv15 e os r 8 de encargos que foi cobrado durante o bloqueio da minha conta.,1
Banco Inter (Banco Intermedium),fiz a portabilidade das cotas do pulv11 pra outro banco melhor e fui informado pelo atendimento horrível do banco que os proventos já seriam pagos no banco melhor mas caiu na conta desse banco que já está cancelada não só demoraram de transferir como transferiram o valor incorreto mais uma vez. r 39024 ao invés de r 39026.,1
Caixa Econômica Federal,bom dia caixa  nao é reclamação é apenas duvidas e esclarecimentos recentemente abri uma conta corrente no app da caixa economica  duvidas e esclarecimentos é uma satisfação ser cliente da cef 1 essa conta que eu abri da direito a um cartao de debito vou receber em minha residencia  2 qual é o pacote de servicos desta conta podem por favor cadastrar o pacote serviços essenciais bacen   3 a mensalidade desta conta é gratuita   desde ja muito agradecido  email para resposta  xxxxxxxxxxxxxxxx.xxx,5
Banco Bradesco,a agência do banco do bradesco fechou em minha cidade e devido a isso tive que mudar aonde recebia meus dois benefícios do inss o bradesco fez a portabilidade do empréstimo consignado que eu tinha com o banco para a agência do banco do brasil empréstimo esse que era da aposentadoria. eu recebo outro benefício que e da pensão do meu marido esse benefício eu nunca peguei consignado nem nada do tipo só que agora tá descontando dele o valor de 48070. cobrança essa indevida pois eu não tenho nenhum consignado a margem da minha pensão também foi afetada fora que eu descobri também que em minha aposentadoria eu pago 6060 de um rmc que nem sei do que se trata. gostaria que fosse tomada as devidas providências para que eu como pensionista e aposentada não fique com prejuízos por algum erro de atualização do banco ou algo do tipo,5
Banco Bradesco,prezados conforme resolução nº 4.790 de 26 de março de 2020 capítulo iv solicito que seja definitivamente cancelada toda e qualquer autorização de desconto automático em conta de qualquer natureza salário corrente ou poupança. capítulo iv do cancelamento da autorização de débitos art. 6º é assegurado ao titular da conta o direito de cancelar a autorização de débitos. parágrafo único. o cancelamento da autorização de débitos em conta pode ser formalizado na instituição depositária ou por meio da instituição destinatária. para evitar maiores transtornos de conflito entre resoluções reforço que antes da vigência da resolução 47902020 tínhamos em plenos efeitos a resolução 36952009 que inclusive serviu como base para a resolução do ano de 2020 resolução bacen nº 3.695 de 26032009 art. 3º é vedada às instituições financeiras a realização de débitos em contas de depósitos sem prévia autorização do cliente.  1º a autorização referida no caput deve ser fornecida por escrito ou por meio eletrônico com estipulação de prazo de validade que poderá ser indeterminado admitida a sua previsão no próprio instrumento contratual de abertura da conta de depósitos.  2º o cancelamento da autorização referida no caput deve surtir efeito a partir da data definida pelo cliente ou na sua falta a partir da data do recebimento pela instituição financeira do pedido pertinente dessa forma desde 2009 temos resoluções do banco central do brasil que autorizam o cancelamento de débito automático em conta. portanto reforço que antes de qualquer negativa os senhores avaliem e remetam esse pedido às áreas superiores do banco e aqui reforço meu pedido solicito o cancelamento de todos os débitos automáticos realizados em minha conta corrente salário ou poupança referente a contratos firmados após o ano de 2009. solicito também por meio deste requerimento que todos os meus contratos de característica de crédito direto ao consumidor sem consignação em folha de pagamento tenham suas autorizações de débito em conta canceladas e que a partir da próxima parcela eu tenha o direito de pagar as referidas parcelas via boleto bancário ou diretamente na boca do caixa de qualquer agência da instituição.,3
Mercado Pago,prezados venho por meio desta formalizar uma reclamação em relação ao bloqueio persistente do meu cartão de crédito. recentemente ao abrir o aplicativo fui surpreendido com uma notificação informando que meu cartão estava bloqueado devido à falta de pagamento de 090 centavos. estranhei pois tenho comprovantes de pagamento integral da fatura de outubro conforme detalhado abaixo  10 de outubro r 20000 número da transação xxx.xxx.xxxxx  14 de outubro r 3597 número da transação xxx.xxx.xxxxx  14 de outubro r 2000 número da transação xxx.xxx.xxxxx  14 de outubro r 1600 número da transação xxx.xxx.xxxxx após realizar o pagamento de 090 centavos o cartão chegou a ser desbloqueado em 23 de outubro mas foi bloqueado novamente na manhã seguinte apresentando as mesmas mensagens anteriores. fiz quatro atendimentos via whatsapp com os seguintes números de protocolo 348456925 348582599 348777759 e 348984524. em todos fui informado de que o problema seria resolvido mas até o momento nada foi feito. diante dessa situação me vejo obrigado a considerar recorrer ao procon pois o atendimento prestado tem sido insatisfatório e o problema permanece sem solução. solicito a revisão imediata da situação e a reativação definitiva do meu cartão. aguardo uma resposta rápida e eficaz.,4
Banco do Brasil,em 21102024 verifiquei a o extrato do meu cpf junto ao registrato na qual constava cobrança do serviço de crédito consignado e taxa referente ao cartão de crédito no valor total de r 189028 que por mim não é reconhecido pois tal divida ja foi paga e está prescrita. envio em anexo extrato do registrato do bacen.,1
Caixa Econômica Federal,fui até a agência da caixa econômica em criciúma da rua getúlio vargas solicitar uma ted da minha poupança da caixa para uma conta de outro banco pois precisava fazer um pagamento de 175 mil e pelo app não tinha possibilidade a gerente simone me informou que não era possível por ser uma conta do caixa tem e sugeriu que eu abrisse outra conta para que eu pudesse transferir o meu dinheiro e então assim efetuar o pagamento porém me pediu um prazo de 5 dias para que a conta fosse liberada informação essa que suponho que seja incabível pois as contas são abertas no ato. preciso efetuar um pagamento até quarta feira dia 30 prazo citado em contrato de compra e venda de imóvel e passível de multa após essa data e a caixa simplesmente está negando que eu movimente minha conta. liguei na ouvidoria hoje 251024 onde também fui pessimamente atendida. o atendente luiz sugeriu que eu fosse fazendo as transferências picadinho já que pelo aplicativo não libera valores altos. ele usou essas palavras. protocolo do atendimento xxx.xxx.xxxxx9724. liguei hoje pela manhã na agência e a atendente me disse que os gerentes não atendem telefone citou que até vou te transferir mas lá embaixo eles não atendem se ela te atender ótimo. isso é o nível do atendimento da caixa econômica mais uma vez tive uma experiência péssima com essa agência não tenho tempo agora para abrir mais um processo contra a caixa...aguardo retorno.,2
Banco Bradesco,conforme o comunicado de superendividamento enviado previamente sob o número de protocolo 2024.10xxx.xxx.xxxxx. desejo oficializar meu pedido de reestruturação financeira diretamente pelo procon e pelo banco central do brasil bacen. mesmo após tentativas anteriores por contato telefônico e pessoalmente na agência não consegui sucesso dado que as ofertas propostas não estão alinhadas à minha condição atual de elevado endividamento impossibilitando a quitação dos montantes sugeridos.,1
C6 Bank,prezados conforme comunicado de superendividamento enviado em demanda aberta anteriormente sob protocolo n 2024851640 venho através deste formalizar minha solicitação de renegociação de dívidas diretamente pelo procon e bacen uma vez que não obtive êxito em nenhuma das conversas via telefone e pela agência onde somente me foi oferecido valores que não tenho condições alguma de pagar diante do meu cenário de superendividamento sei que os bancos tendem a pedir para que o procon recuse tal demanda mas neste pedido estou seguindo a exata recomendação dada nos moldes do código de defesa do consumidor atualizado pela lei 14.181 em seu artigo 104c. compete concorrente e facultativamente aos órgãos públicos integrantes do sistema nacional de defesa do consumidor a fase conciliatória e preventiva do processo de repactuação de dívidas nos moldes do art. 104a deste código. reforço que nenhuma das minhas propostas eu ofereço pagar menos do que tomei emprestado com as devidas correções pois estou ciente da minha obrigação de pagar o principal emprestado e em nenhum momento tenho intenção premeditada de dar calote ou agir de má fé pois a todo momento venho reforçando através de atos práticos minha boa fé e intenção de negociar de forma que eu consiga pagar minhas obrigações de moradia alimentação saúde e transporte e honrar com as obrigações financeiras e faço isso exatamente para não ter que buscar a justiça pois acredito verdadeiramente que os senhores avaliarão os fatos e estarão dispostos a negociar aqui mesmo na fase conciliatória do superendividamento. com isso esclarecido segue minha proposta de negociação dados da dívida cartão de crédito final 5430 ofereço proposta para quitar a dívida no valor de r 134531 e posso pagar esse valor apenas de forma parcelada em 13x de r 13453 sem comprometer a manutenção dos itens básicos para minha família e para que consiga um acordo com todos os meus credores. me coloco a disposição para receber uma contraproposta mas de fato não consigo assumir um valor acima do proposto pois como informei no comunicado anterior hoje no sistema de informações de crédito do banco central  scr minha responsabilidade total em reais é de r 37.34912 em 11 bancos e instituições financeiras.,3
Nubank,fiz os meus pagamentos pendentes mas não consigo usar a função cartão de credito,1
Banco do Brasil,empresa quer juros abusivos nao tenho como pagar,1
Caixa Econômica Federal,financiamento estudantil fiz a renegociação do fies concedida pelo governo federal em 2023 com abatimento de 92 da dívida. nas últimas parcelas a cef cancelou a renegociação de 92 e passou para 77. não aceitei pois ficariam parcelas muito altas tendo em vista que estava nas últimas parcelas e eles só parcelariam a dívida no restante ds parcelas 8x. de acordo com os termos da rerratificação eu poderia não aceitar que teria o reembolso das parcelas já pagas e posteriormente poderia aceitar com os 77 para pagamento em até 15x. assim o fiz não aceitei recebi o reembolso para fazer a nova renegociação com mais parcelas. acontece que após isto o meu saldo devedor do fies que era de aproximadamente 61 mil reais passou indevidamente e injustificadamente para mais de 89 mil reais. nenhum atendente sabe explicar o motivo e nem resolver o meu e de mais milhares de clientes problema. peço para que o meu saldo devedor volte ao valor original e verdadeiro de aproximadamente 61 mil reais para que eu possa fazer a nova renegociação de 77 em 15x sendo o prazo concedido pelo governo federal de até o dia 31122024. quando clico em renegociação aparece uma mensagem de erro ou que o contrato já foi renegociado. já abri um chamado e fui informada de que o meu contrato está com uma falha pontual e que estariam corrigindo porém até hoje não resolveram.,5
Banco Inter (Banco Intermedium),infelizmente é um parto conseguir qualquer coisa com esse banco. só tem robôs e quando falar com um ser humano parece que está falando com um robo. estou a semanas tentando parcelar uma fatura e simplesmente é impossível. agora são 0940 e estou desde as 07h tentando resolver e nada. pessimo atendimento ligam todos os dias para fazer cobrança mas no final dizem que não tem opção de negociação. infelizmente o banco sempre com total descaso eu quero pagar e não me dão essa opção.,1
Nubank,fiz uma negociação no descomplica  e foi para o nubank  fiquei desempregado e não consegui pagar agora entrei em contato e o nubank não quer negociar só querem que pague as parcelas com juros,1
Banco Itaú Unibanco,estou desempregada há 01 ano tenho este empréstimo junto ao banco itaú há mais de 05 anos tento negociar e só apresentam alternativas com juros abusivos a divida só aumenta e também solicito a retirada desta divida junto aos órgãos financeiros spcserasa pois dificulta em muita minha recolocação profissional e gostaria de receber uma proposta de acordo coerente e sem estes juros absurdos e injustos que imputam sem nenhuma outra opção de acordo.,1
Caixa Econômica Federal,prezados estou entrando em contato para propor uma solução para a quitação do meu saldo em atraso e assim ficar em dias com meu financiamento. gostaria de solicitar a retirada dos juros multas e atualizações monetárias das prestações em atraso. se essa condição for aceita poderei pagar todo o saldo em atraso à vista até dia 01112024. ressalto que minha intenção é honrar meus compromissos financeiros mas preciso da colaboração da caixa para viabilizar essa quitação de forma justa e possível dentro das minhas condições atuais. agradeço pela compreensão e aguardo uma resposta positiva. atenciosamente mayra renata.,5
Banco Santander,solicitação de retirada do meu cpf xxx.xxx.xxxxx junto ao src pois a dívida está paga de modo que não há atraso e está como em prejuízo na planilha do scr.,5
Banco Inter (Banco Intermedium),a instituição bancária em questão tem o costume de realizar excessivas ligações de cobrança de forma repetitiva e desproporcional causando constrangimento e desconforto a mim enquanto consumidor durante o meu expediente de trabalho já foi aberta a reclamação inclusive sobre uma atendente que realizou uma cobrança em tom de ameaça só que a empresa continua com essa prática que viola o código de defesa do consumidor. as ligações chegam a ser realizadas mais de 10 vezes por dia.,1
Caixa Econômica Federal,dia 21102024 às 1445 procurei a agência bancária onde sou correntista para dá entrada na documentação para solicitar saque do fgts contudo o bancário me orientou a baixar o aplicativo do fgts para e seguir as instruções para sacar o fgts. fiz isso no mesmo dia e escolhi no aplicativo a opção inatividade no regime fgts tendo em vista que estou fora do regime por 3 anos ininterruptos desde o dia 20102021. hoje 25102024 ao verificar o aplicativo me deparei com uma informação equivocada e sem protocolo informando que eu não teria direito ao saque do fgts anexo 1 nas página 1 e 2_rescisão contratual_20_10_2021_ryley brandão da silva. por conseguinte informo que anexei a foto carteira de trabalho física carteira de trabalho digital e o termo de rescisão do contrato de trabalho. estes dois últimos demonstram que trabalhei nos correios até dia 20102021. portanto tenho direito a solicitar e receber o saque na minha conta em até 5 dias úteis. informo que liguei para o 0800 726 0207 atendimento 6fgts e falei com yure e a mesma me orientou a fazer novamente a solicitação pelo aplicativo. fiz novamente ainda a pouco anexo 2_registro solicitação para saque fgts em 25_10_2024. por fim solicitei a yure para fazer uma reclamação e a mesma me transferiu para o 0800 726 0101 e o senhor mauro me atendeu e quando iria fazer a reclamação sobre o indeferimento o mesmo desligou o telefone na minha cara. total falta de respeito.,1
Nubank,renegociei a dívida do cartão  foi pago a entrada e já foi pago 1 parcela e o mesmo não foi tirado do registrado como prejuízo.,4
Nubank,fiz uma renegociação com o total da dívida do meu cartão nubank e infelizmente por alguns imprevistos não conseguir efetuar o pagamento da parcela por ter ficado com o valor elevado estando há alguns dias em atraso e gerando altos juros. ao tentar uma outra negociação pelo app supondo aumentar a quantidades de parcelas para caber no meu orçamento fica impossível uma negociação visto que no momento só me oferecem em 10 x e o valor da minha dívida dobra. sem contar quem os juros são altíssimos. já entrei em contato por telefone e email até proposta já enviei e o banco nem sequer uma contra proposta me reenviou há não ser a mesma que consta no aplicativo. espero muito em breve regularizar essa situação e por um valor justo.,1
Nubank,troquei de telefone já tem dois meses que não consigo acessar meu aplicativo já desinstalei várias vezes e instalei novamente não aparece opção de reconhecimento facial nao aceita a minha senha já liguei várias vezes no xxx.xxx.xxxxx já liguei na ouvidoria ninguém resolve enviei mais de 27 email e liguei 38 vezes eles nem leem o email so mandam aqueles textos de script eles falam que abriu chamado que vao entrar em contato e nao entram e nao resolvem.,5
Banco Santander,estava em atraso com o banco de voces e agora ja esta regularizado peço por gentileza que retire meu nome do registrato porque esta interferindo fazer as coisas,1
Banco Itaú Unibanco,gostaria que retirassem meu nome do cpc e serasa pois. dívida já se encontra em mais de cinco anos .,5
Banco do Brasil,boa tarde. tenho uma conta corrente no banco do brasil ag xxxxxx cc 45.xxxxxx av nossa senhora de copacabana n594 rj . eu venho tendo dificuldades na linha de credito pela própria agência minha renda mensal de 12.85600 reias esta comprovada  endereço e todos os requisitos p que eu pudesse ter uma linha de credito como cartões cheque especial e tb se beneficiar da conta estilo bb sou aposentado da marinha do brasil com a renda fixa  não estou inadimplente com nenhuma conta . há 15 dias atrás precisei de uma cartão de credito internacional pois iria fazer uma viagem internacional e precisaria desse cartão p viagem o mesmo foi negado sem nenhuma justificativa . eu não consto em sites de nome negativado como serasa ou banco central . eu acho injusto eu estar passando por algum tipo de retalhação ou preconceito por algum motivo obscuro  tento em vista que não tenho nenhuma divida ativa em qualquer instituição financeira . elias lima de oliveira cpf 079.383.767.79 xxxxxxxxxxxxxxxx.xxx,1
C6 Bank,conforme email de propaganda recebida pelo banco tenho direito há 4 c6 tags sendo que sou elegível em no mínimo 2 critérios do banco de acordo com tal propaganda. ocorre que não consigo solicitalas entrei em contato e como já tive 2 tags no passado eu teria que solicitar segunda via. querendo me cobrar absurdos r 2500 por tag temos aqui vários problemas. em lugar algum diz que é para novas solicitações não fui eu que procurei a promoção e ainda que fosse se são 4 e tive 2 teria direito há no mínimo mais 2 o que ainda não concordo porque me sinto frustrado com lesado com esta propaganda enganosa. ademais a solução apresentada seria de que eu solicitasse a segunda via pagasse o valor e depois de novo entrasse em contato solicitando reembolso que quem garante que iria receber aja vista que minha confiança está completamente abalada.,1
Banco do Brasil,conforme resolução nº 4.790 de 26 de março de 2020 capítulo iv solicito que seja definitivamente cancelada toda e qualquer autorização de desconto automático em conta de qualquer natureza salário corrente ou poupança. capítulo iv do cancelamento da autorização de débitos art. 6º é assegurado ao titular da conta o direito de cancelar a autorização de débitos. parágrafo único. o cancelamento da autorização de débitos em conta pode ser formalizado na instituição depositária ou por meio da instituição destinatária. para evitar maiores transtornos de conflito entre resoluções reforço que antes da vigência da resolução 47902020 tínhamos em plenos efeitos a resolução 36952009 que inclusive serviu como base para a resolução do ano de 2020 resolução bacen nº 3.695 de 26032009 art. 3º é vedada às instituições financeiras a realização de débitos em contas de depósitos sem prévia autorização do cliente.  1º a autorização referida no caput deve ser fornecida por escrito ou por meio eletrônico com estipulação de prazo de validade que poderá ser indeterminado admitida a sua previsão no próprio instrumento contratual de abertura da conta de depósitos.  2º o cancelamento da autorização referida no caput deve surtir efeito a partir da data definida pelo cliente ou na sua falta a partir da data do recebimento pela instituição financeira do pedido pertinente dessa forma desde 2009 temos resoluções do banco central do brasil que autorizam o cancelamento de débito automático em conta. portanto reforço que antes de qualquer negativa os senhores avaliem e remetam esse pedido às áreas superiores do banco e aqui reforço meu pedido solicito o cancelamento de todos os débitos automáticos realizados em minha conta corrente salário ou poupança referente a contratos firmados após o ano de 2009. solicito também por meio deste requerimento que todos os meus contratos de característica de crédito direto ao consumidor sem consignação em folha de pagamento tenham suas autorizações de débito em conta canceladas e que a partir da próxima parcela eu tenha o direito de pagar as referidas parcelas via boleto bancário ou diretamente na boca do caixa de qualquer agência da instituição. é do meu conhecimento que apesar das incontáveis decisões judiciais que garantem esse direito ao consumidor os bancos negam tal solicitação então quero reforçar que tenho pleno conhecimento da existência da resolução n.º 4790 do bacen da resolução nº 3.695 de 26032009 e que a qualquer tempo posso cancelar uma solicitação anterior de autorização de débito em conta. reforço que também estou ciente da existência do código de defesa do consumidor inciso iv do artigo 51 do cdc que dispõe serem nulas de pleno direito as cláusulas contratuais relativas ao fornecimento de produtos e serviços que estabeleçam obrigações consideradas iníquas abusivas ou que coloquem o consumidor em desvantagem exagerada ou seja incompatíveis com a,5
Banco Bradesco,solicitei a portabilidade de consignado para o banco sicredi em 08102024. até a data atual o banco bradesco não deu baixa na averbação junto à prefeitura de itaúnamg local onde eu trabalho. procurei o bradesco no dia 2410 e a atendente falou que me retornaria através de whatsapp mas não retornou. voltei ao banco hoje 2510 e fui informado que a gerente responsável não estava e que não foi resolvido por causa do sistema. preciso da averbação para fazer movimentações financeiras junto ao banco sicredi.,1
Banco Bradesco,prezados conforme comunicado de superendividamento enviado em demanda aberta anteriormente sob protocolo 2024319723 venho através deste formalizar minha solicitação de renegociação de dívidas diretamente pelo procon e bacen uma vez que não obtive êxito em nenhuma das conversas via telefone e pela agência onde somente me foi oferecido valores que não tenho condições alguma de pagar diante do meu cenário de superendividamento sei que os bancos tendem a pedir para que o procon recuse tal demanda mas neste pedido estou seguindo a exata recomendação dada nos moldes do código de defesa do consumidor atualizado pela lei 14.181 em seu artigo 104c. compete concorrente e facultativamente aos órgãos públicos integrantes do sistema nacional de defesa do consumidor a fase conciliatória e preventiva do processo de repactuação de dívidas nos moldes do art. 104a deste código. reforço que nenhuma das minhas propostas eu ofereço pagar menos do que tomei emprestado com as devidas correções pois estou ciente da minha obrigação de pagar o principal emprestado e em nenhum momento tenho intenção premeditada de dar calote ou agir de má fé pois a todo momento venho reforçando através de atos práticos minha boa fé e intenção de negociar de forma que eu consiga pagar minhas obrigações de moradia alimentação saúde e transporte e honrar com as obrigações financeiras e faço isso exatamente para não ter que buscar a justiça pois acredito verdadeiramente que os senhores avaliarão os fatos e estarão dispostos a negociar aqui mesmo na fase conciliatória do superendividamento. com isso esclarecido segue minha proposta de negociação dados da dívida limite em conta corrente hoje em 7 e contrato de crédito pessoal 3462643383 restando 12 ultimas parcelas no valor de ofereço proposta para quitar a dívida do limite de credito em conta corrente no valor de r e posso pagar esse valor apenas de forma parcelada em 29 parcelas de rsem juros e contrato de credito pessoal ofereço o valor de o valor do contrato todo em 35 parcelas de sem juros sem comprometer a manutenção dos itens básicos para minha família e para que consiga um acordo com todos os meus credores. me coloco a disposição para receber uma contraproposta mas de fato não consigo assumir um valor acima do proposto pois como informei no comunicado anterior hoje no sistema de informações de minha responsabilidade total em reais é de em09 nove bancos e instituições financeiras. caso seja necessário posso enviar a vocês meu comprovante de pagamento e rendimentos mensais junto com a comprovação de toda minha movimentação financeira onde pago minhas necessidades básicas uma relação de todas as minhas dívidas que são com,2
Nubank,na data de hoje verifiquei que meu nome está relacionado como prejuízo junto ao banco central do brasil mesmo depois de ter quitado meus débitos com a empresa.,3
Caixa Econômica Federal,em data verifiquei a o extrato  cartão de crédito  conta corrente na qual constava cobrança do serviço indique o serviço cobrado exemplo seguro título de capitalização etc no valor indique o valor da cobrança que por mim não é reconhecido pois eu não solicitei e não autorizei a contratação. descreva os contatos realizados com a empresa os indicando data horário e o atendimento recebido e informe se o valor contestado foi ou não pago,1
Banco do Brasil,quero solicitar o desvinculo do meu nome junto ao serasa onde me encontro negativado e tendo prejuízos com minha vida pessoal e profissional devido essa marcação. estou tendo problemas pra encontrar empresas de locação de imóvel devido ao meu nome estar marcado e negativado pelo banco do brasil. preciso fazer um plano de saúde e também não estou conseguindo. estou me candidatando a vaga de emprego onde as empresas específicas que quero entrar fazem essa análise do meu cpf. se eu não conseguir esse trabalho não vou conseguir fazer um acordo financeiro com o banco.,1
Banco do Brasil,no dia 12102024 enquanto realizava compras em estabelecimento decidi por fazer o cartão da loja para obter descontos. no entanto ao tentar realizar o cadastro fui informada pela atendente do estabelecimento que seria impossível a emissão do cartão haja vista a existência de apontamento nos cadastros restritivos de crédito em meu nome. prontamente neguei à situação à atendente pois desconheço o débito. diante disso verifiquei junto aos órgãos mantenedores de cadastros de proteção ao crédito e fui surpreendida com a inscrição de um apontamento inserido pelo banco do brasil proveniente de débito que desconheço. ressalto que não tenho relação com o banco tendo encerrado a conta no meio deste ano. desconheço o contrato mencionado no apontamento do spc e solicito o imediato cancelamento do débito e da negativação.,1
Banco Itaú Unibanco,foi efetuado pix minha conta na 2ª feira até agora não entrou.,1
Banco Santander,exclusão de meu nome nos registros de devedores antigos da instituição,5
Banco Bradesco,problema foi feito um contrato de r 2.00000 em 30 de maio de 2022 creditado na conta 25.xxxxxx da agência 2542. não recebi uma via do contrato. em outubro deste ano estive na agência solicitando uma via do contrato e fui informada que o crédito foi disponibilizado automaticamente na minha conta e por isso não existiria contrato.,1
